track_id,title,artist,total_artist_pop,total_track_pop,era
512722,Show Me What You Got,JAY-Z,1420.865587515,22.564636785,00
507954,Ring The Alarm,Beyonce,1670.307081989,31.594584009,00
496960,U And Dat,T-Pain,1763.382074439,56.20447624,00
503622,Call On Me,Nelly,1717.443932815,11.042351186,00
503586,Deja Vu,Beyonce,1670.307081989,84.072446396,00
503586,Deja Vu,JAY-Z,1420.865587515,84.072446396,00
497796,Unfaithful,Rihanna,1507.649307838,97.864992232,00
493915,SOS,Rihanna,1507.649307838,91.036712622,00
491684,Gimme That,Lil Wayne,1610.411930615,44.492565921,00
489840,Best Friend,50 Cent,1550.120223309,5.661576816999999,00
488167,Check On It,Beyonce,1670.307081989,150.659543096,00
487762,Grillz,Nelly,1717.443932815,154.56043721,00
488465,I'm N Luv (Wit A Stripper),T-Pain,1763.382074439,88.225900415,00
486879,Unpredictable,Ludacris,1838.490345323,65.724288971,00
482117,Gold Digger,Kanye West,1641.642643231,215.648543622,00
485076,Touch The Sky,Kanye West,1641.642643231,2.261087303,00
488992,Nasty Girl,Nelly,1717.443932815,3.435370253,00
486083,Fireman,Lil Wayne,1610.411930615,7.997186277,00
483309,If It's Lovin' That You Want,Rihanna,1507.649307838,7.693056812,00
480660,Georgia,Ludacris,1838.490345323,2.473528589,00
477864,I'm Sprung,T-Pain,1763.382074439,75.127536231,00
482479,Soul Survivor,Akon,1651.909595383,120.66230131799999,00
485489,Heard 'Em Say,Kanye West,1641.642643231,13.2284889,00
484451,Unbreakable,Alicia Keys,1506.641972787,11.58640763,00
487224,Window Shopper,50 Cent,1550.120223309,14.648348935000001,00
439635,Belly Dancer (Bananza),Akon,1651.909595383,11.959995431,00
477033,Pon de Replay,Rihanna,1507.649307838,129.755468283,00
482058,Outta Control (Remix),50 Cent,1550.120223309,33.183243536,00
469254,Pimpin' All Over The World,Ludacris,1838.490345323,64.963325412,00
476668,Get It Poppin',Nelly,1717.443932815,68.788881119,00
477591,So Seductive,50 Cent,1550.120223309,1.69660473,00
473367,Just A Lil Bit,50 Cent,1550.120223309,121.273890478,00
477924,Diamonds From Sierra Leone,Kanye West,1641.642643231,1.904016505,00
461662,Oh,Ludacris,1838.490345323,124.44360907699999,00
466652,Baby I'm Back,Akon,1651.909595383,28.222042074,00
464605,Sugar (Gimme Some),Ludacris,1838.490345323,43.447029002,00
470147,Hate It Or Love It,50 Cent,1550.120223309,125.22330639,00
470347,Candy Shop,50 Cent,1550.120223309,149.777569973,00
463407,Lonely,Akon,1651.909595383,81.5091561,00
475286,Errtime,Nelly,1717.443932815,6.838313253,00
466578,Disco Inferno,50 Cent,1550.120223309,162.66032973699998,00
467213,Number One Spot,Ludacris,1838.490345323,20.485101544,00
446473,Karma,Alicia Keys,1506.641972787,40.968658743,00
452239,Caught Up,Usher,1820.677346642,85.926829279,00
462484,How We Do,50 Cent,1550.120223309,129.255999547,00
464984,Lovers And Friends,Usher,1820.677346642,266.72044202,00
464984,Lovers And Friends,Ludacris,1838.490345323,266.72044202,00
464072,Soldier,Lil Wayne,1610.411930615,122.35145547699999,00
464637,Numb/Encore,JAY-Z,1420.865587515,33.082643502,00
462073,Get Back,Ludacris,1838.490345323,62.955314843,00
461231,Over And Over,Nelly,1717.443932815,140.237055433,00
456977,My Boo,Usher,1820.677346642,374.130740044,00
456977,My Boo,Alicia Keys,1506.641972787,374.130740044,00
463997,Encore,50 Cent,1550.120223309,11.234669884,00
458909,Go D.J.,Lil Wayne,1610.411930615,44.05671493,00
446467,Diary,Alicia Keys,1506.641972787,101.409133145,00
461276,Big Chips,JAY-Z,1420.865587515,2.0542792729999997,00
452540,Locked Up,Akon,1651.909595383,81.96705925799999,00
