year,artist,percentage_of_year
2019,Travis Scott,1.92
2020,24kGoldn Featuring iann dior,11.54
2020,6ix9ine & Nicki Minaj,1.92
2020,Ariana Grande,1.92
2020,Ariana Grande & Justin Bieber,1.92
2020,BTS,7.69
2020,Cardi B Featuring Megan Thee Stallion,7.69
2020,DaBaby Featuring Roddy Ricch,13.46
2020,Doja Cat Featuring Nicki Minaj,1.92
2020,Drake,1.92
2020,Harry Styles,1.92
2020,Jawsh 685 x Jason Derulo,1.92
2020,Lady Gaga & Ariana Grande,1.92
2020,Mariah Carey,3.85
2020,Megan Thee Stallion,1.92
2020,Post Malone,1.92
2020,Roddy Ricch,21.15
2020,"THE SCOTTS, Travis Scott & Kid Cudi",1.92
2020,Taylor Swift,3.85
2020,The Weeknd,7.69
2020,Travis Scott Featuring Young Thug & M.I.A.,1.92
2021,24kGoldn Featuring iann dior,4.44
2021,Adele,4.44
2021,BTS,24.44
2021,Cardi B,2.22
2021,Coldplay x BTS,2.22
2021,Drake,2.22
2021,Drake Featuring Future & Young Thug,2.22
2021,Justin Bieber Featuring Daniel Caesar & Giveon,2.22
2021,Lil Nas X,2.22
2021,Lil Nas X & Jack Harlow,2.22
2021,Mariah Carey,2.22
2021,Olivia Rodrigo,20.0
2021,Polo G,4.44
2021,Silk Sonic (Bruno Mars & Anderson .Paak),4.44
2021,The Kid LAROI & Justin Bieber,15.56
2021,The Weeknd & Ariana Grande,4.44
